wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,epoch_prop_flag,wds_pm1,wds_pm2,wds_ra1,wds_dec1,wds_ra2,wds_dec2,gaia_designation1,gaia_source_id1,gaia_ra1,gaia_dec1,gaia_parallax1,gaia_pmra1,gaia_pmdec1,gaia_pm1,gaia_phot_g_mean_mag1,gaia_phot_bp_mean_mag1,gaia_phot_rp_mean_mag1,gaia_has_xp_continuous1,gaia_ruwe1,gaia_phot_variable_flag1,gaia_non_single_star1,gaia_flag1,gaia_designation2,gaia_source_id2,gaia_ra2,gaia_dec2,gaia_parallax2,gaia_pmra2,gaia_pmdec2,gaia_pm2,gaia_phot_g_mean_mag2,gaia_phot_bp_mean_mag2,gaia_phot_rp_mean_mag2,gaia_has_xp_continuous2,gaia_ruwe2,gaia_phot_variable_flag2,gaia_non_single_star2,gaia_flag2,xm_chk1,xm_chk2,gaia_sep,gaia_br_diff1,gaia_br_diff2,syn1,syn2,syn_dm
39,03261+1229,A   829,AB,2021.8607,y,0.4976,0.0049,35.17,1.06,1.9,0.0707,:,2,1,Gaia DR3 16823936654644480,Gaia DR3 16823940949244160,.,.,8.82,10.38,-72.0,-23.0,-72.0,-23.0,NO,!,75.58438992278762,75.58438992278762,51.53638058700969,12.481758888692667,51.53646213084123,12.481871877966784,Gaia DR3 16823936654644480,16823936654644480,51.5362346056022,12.481698078775588,,,,,8.39341,8.6150055,7.847891,False,,NOT_AVAILABLE,0,!,Gaia DR3 16823940949244160,1.682394094924416e+16,51.53618984138048,12.481640763835024,15.050611864426388,-66.99383370788232,-32.22987233200099,74.34338,8.535183,8.619586,7.840054,False,7.5198765,NOT_AVAILABLE,0.0,.,True,True,0.2594807682770051,0.7671145000000008,0.7795319999999997,,,
40,03261+1229,A   829,AB,2022.0846,y,0.4879,0.0066,33.98,1.16,2.0,0.0499,q,3,1,Gaia DR3 16823936654644480,Gaia DR3 16823940949244160,.,.,8.82,10.38,-72.0,-23.0,-72.0,-23.0,NO,!,75.58438992278762,75.58438992278762,51.53638058700969,12.481758888692667,51.53645816750577,12.481871272749,Gaia DR3 16823936654644480,16823936654644480,51.5362346056022,12.481698078775588,,,,,8.39341,8.6150055,7.847891,False,,NOT_AVAILABLE,0,!,Gaia DR3 16823940949244160,1.682394094924416e+16,51.53618984138048,12.481640763835024,15.050611864426388,-66.99383370788232,-32.22987233200099,74.34338,8.535183,8.619586,7.840054,False,7.5198765,NOT_AVAILABLE,0.0,.,True,True,0.2594807682770051,0.7671145000000008,0.7795319999999997,,,
41,05100+7541,A   841BC,BC,2022.1176,y,0.7877,0.0271,246.28,2.77,0.8,0.25,:,2,2,Gaia DR3 503713901913847808,Gaia DR3 503713906209481600,.,.,10.1,10.9,8.0,-52.0,8.0,-52.0,,!,52.61178575186362,52.61178575186362,77.48939389591324,75.69449111107144,77.48858317205311,75.69440309136087,Gaia DR3 503713901913847808,503713901913847808,77.48980864640372,75.69443922097611,5.395469608724502,12.073215637700365,-49.09628078893775,50.55895,9.97514,9.701005,9.041832,True,1.4246852,NOT_AVAILABLE,0,!,Gaia DR3 503713906209481600,5.037139062094816e+17,77.48907136596233,75.69432527507719,5.211588574147704,10.202147368481112,-46.74303259949729,47.84344,10.407293,9.699286,9.039413,False,2.5043569,NOT_AVAILABLE,0.0,.,True,True,0.7735590166255852,0.6591730000000009,0.659873000000001,9.980088525761651,,
42,00245+5632,A   908,AB,2021.9148,y,0.3415,0.0022,246.67,0.36,0.5,0.0,:,1,1,,,$,$,10.4,10.19,4.0,-2.0,4.0,-2.0,,.,4.47213595499958,4.47213595499958,6.131448909407768,56.53874111110708,6.131290930807904,56.53870354350771,Gaia DR3 421366738770523520,421366738770523520,6.131447445388068,56.53876167396515,1.7256684772493371,5.086344108740471,-1.435985640634,5.2851634,10.194515,9.615834,9.365763,False,3.4344096,NOT_AVAILABLE,0,!,Gaia DR3 421366738760910976,4.21366738760911e+17,6.131362424188884,56.53871919929522,,,,,10.247467,9.615111,9.369734,True,,NOT_AVAILABLE,0.0,.,False,False,0.22773184587492762,0.25007100000000015,0.2453770000000013,,9.556274142976491,
43,00508+3203,"A   922Aa,Ab","Aa,Ab",2021.9601,y,0.5985,0.0035,334.21,0.42,0.4,0.05,:,6,2,,,$,$,9.61,9.77,-9.0,-70.0,-9.0,-70.0,NO,.,70.57619995437555,70.57619995437555,12.71211947419722,32.04918888888497,12.712034136672733,32.04933857947856,Gaia DR3 360908442640283776,360908442640283776,12.71215353085207,32.04919951152748,8.2414617555835,-7.981435383395656,-67.88247484864645,68.35008,9.503523,9.080844,8.353771,True,2.5547311,NOT_AVAILABLE,0,!,Gaia DR3 360908442640961536,3.6090844264096154e+17,12.712073403429862,32.04934364744022,7.9651095706282895,-9.002748973759934,-64.8347906587028,65.456856,9.567051,9.080839,8.35215,True,2.4742997,NOT_AVAILABLE,0.0,.,False,False,0.5736061848647167,0.7270730000000007,0.7286889999999993,9.670556240324366,9.39539293708878,0.2751633032355869
44,01011+6022,A   926,AB,2021.8795,y,0.381,0.0015,179.98,0.23,1.3,0.0,:,1,1,Gaia DR3 426478059093070080,,.,$,9.23,8.65,22.0,-19.0,22.0,-19.0,O,.,29.068883707497267,29.068883707497267,15.277239367812005,60.35835999985469,15.277239441866469,60.3582541665278,Gaia DR3 426478059093070080,426478059093070080,15.277203383244176,60.35837092295474,,,,,8.252422,8.247787,7.5644774,True,,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.6833096000000003,,8.113610322465433,,
45,01071+4744,A   931,AB,2021.8466,y,0.2983,0.0012,268.5,0.24,1.1,0.0,:,1,1,Gaia DR3 401688160686088192,,.,$,8.8,8.8,3.0,6.0,3.0,6.0,,!,6.708203932499369,6.708203932499369,16.76268648963235,47.73035999999788,16.76256334044029,47.730357830881,Gaia DR3 401688160686088192,401688160686088192,16.762741110024074,47.73034804809981,2.855098998325351,6.932329016298113,1.1748055848570296,7.0311704,8.721527,8.814733,8.528372,True,1.9429741,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.2863610000000012,,8.752599156241033,,
46,01380+4600,A   944AB,AB,2021.8767,y,0.894,0.0,302.77,0.0,2.9,0.0,:,1,1,Gaia DR3 398718104901400576,,.,$,9.2,9.5,3.0,-10.0,3.0,-10.0,N,!,10.44030650891055,10.44030650891055,24.50693586016,45.99828888888798,24.50663527312508,45.99842330338471,Gaia DR3 398718104901400576,398718104901400576,24.506971112420377,45.998289585975,3.2651509553130067,6.601560124920152,-7.996386430592612,10.36932,8.5931015,8.618014,8.516932,True,3.3672183,VARIABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.1010819999999999,,8.602751194904954,,
47,01479+4440,A   949,AB,2020.939,V,3.4956,0.0055,293.96,0.09,2.1,0.0,:,1,1,Gaia DR3 350333545965688064,,.,$,9.3,9.3,18.0,-20.0,-34.0,2.0,N,.,26.90724809414742,34.058772731852805,26.96907081811992,44.66677222216839,26.96749821338461,44.66726431491599,Gaia DR3 349581548731407872,349581548731407872,26.96896845091288,44.66679587738727,4.011539325565631,-0.4603941503658912,-13.15423257375627,13.162287,9.808122,10.115175,9.326426,True,1.0215149,NOT_AVAILABLE,0,!,Gaia DR3 349581548731407744,3.4958154873140774e+17,26.96771337071357,44.667189723704254,3.939959377843009,0.0898446717860981,-13.111652223112234,13.11196,10.882879,11.124807,10.369735,False,1.1051769,NOT_AVAILABLE,0.0,.,False,False,3.512322057795364,0.788749000000001,0.7550720000000002,9.965893849429602,,
48,01479+4440,A   949,AB,2020.939,y,3.4876,0.0059,294.07,0.1,1.3,0.0,*,1,1,Gaia DR3 350333545965688064,,.,$,9.3,9.3,18.0,-20.0,-34.0,2.0,N,.,26.90724809414742,34.058772731852805,26.96907081811992,44.66677222216839,26.96750213303346,44.66726511143981,Gaia DR3 349581548731407872,349581548731407872,26.96896845091288,44.66679587738727,4.011539325565631,-0.4603941503658912,-13.15423257375627,13.162287,9.808122,10.115175,9.326426,True,1.0215149,NOT_AVAILABLE,0,!,Gaia DR3 349581548731407744,3.4958154873140774e+17,26.96771337071357,44.667189723704254,3.939959377843009,0.0898446717860981,-13.111652223112234,13.11196,10.882879,11.124807,10.369735,False,1.1051769,NOT_AVAILABLE,0.0,.,False,False,3.512322057795364,0.788749000000001,0.7550720000000002,9.950661297032674,,
