source_id,Stromgren_mag_u,Stromgren_mag_v,Stromgren_mag_b,Stromgren_mag_y,Stromgren_flux_u,Stromgren_flux_v,Stromgren_flux_b,Stromgren_flux_y,Stromgren_flux_error_u,Stromgren_flux_error_v,Stromgren_flux_error_b,Stromgren_flux_error_y,StromgrenStd_mag_v,StromgrenStd_mag_b,StromgrenStd_mag_y,StromgrenStd_flux_v,StromgrenStd_flux_b,StromgrenStd_flux_y,StromgrenStd_flux_error_v,StromgrenStd_flux_error_b,StromgrenStd_flux_error_y
4160558188577118848,7.9492546748273725,8.339690550106486,8.016805815666775,7.709805772512233,2.1205969384371673e-14,3.404425069853748e-14,3.5684340416021986e-14,2.9804215231183635e-14,3.5385808013310504e-16,3.1094087171416e-16,1.0527499997637304e-16,1.0226718878400874e-16,8.494280583000336,8.011186169331488,7.7249079745404,3.434059113620082e-14,3.583649545488962e-14,2.991415986047754e-14,3.190619815494855e-16,1.1233649975840408e-16,1.1134182405850712e-16
3213958769587525888,8.8720569923018,9.251535498357935,8.28719826422552,7.7611324688659025,9.064361199015412e-15,1.4699609599250163e-14,2.781766638171676e-14,2.8428046192573244e-14,1.4203057428290323e-16,4.9703141282923905e-17,4.7575709813093895e-17,5.637777628962979e-17,9.394049985063486,8.289958709361514,7.787468618784352,1.4993395806870355e-14,2.7721486606179897e-14,2.8239210614421057e-14,5.848684272871876e-17,4.646147117882887e-17,5.991985039796312e-17
3340534342021498112,9.208995327626575,9.180803603610887,9.083091309034767,8.91364879558138,6.646023444309699e-15,1.5689119053048474e-14,1.3364831152888796e-14,9.834232729671257e-15,8.47767440647796e-17,5.661429084307725e-17,2.9176134764011255e-17,2.486751916279182e-17,9.339884207085678,9.060111920924697,8.928102639129534,1.5760366666147528e-14,1.3638142742192954e-14,9.87640622088345e-15,5.811481868546799e-17,2.946983794389071e-17,2.6930331442663153e-17
1604722141111356288,7.818898599739484,8.353404853775064,8.066808767227744,7.79648662256411,2.3911155297397383e-14,3.3616930670709866e-14,3.4078187893091377e-14,2.751727036831778e-14,9.123049535543514e-16,1.2071186477062235e-15,3.643840237442287e-16,5.405837750399889e-16,8.513292762416864,8.05522458733816,7.8114440872849755,3.3744492039614306e-14,3.441201987539188e-14,2.762246074666527e-14,1.1263532113031377e-15,3.8089204490263774e-16,5.836122369682073e-16
2017928059787352320,7.818655298523851,8.57559153914568,8.5315319081141,8.34988699720192,2.3916514117527827e-14,2.739576198170469e-14,2.2211978107580847e-14,1.652894753329273e-14,3.764185351700578e-16,3.83086495308907e-16,1.7148533018593437e-16,1.3364140075561545e-16,8.746772700199724,8.5105188198254,8.365768032306192,2.7215161755199762e-14,2.2625202351754797e-14,1.6578024879830962e-14,3.822444225353182e-16,1.8010786927601856e-16,1.4399871303870918e-16
695443342248789504,8.452053217618435,9.129742821631066,8.728793618426433,8.385546000871436,1.3345618717332051e-14,1.644458323411595e-14,1.8521772802856263e-14,1.5994902593865888e-14,3.624471575794615e-16,5.137148696176261e-16,2.5247425566731234e-16,2.7094471267902696e-16,9.280514712431366,8.719614020769384,8.401990353619873,1.6646161929771844e-14,1.8661836995122363e-14,1.6034073074884462e-14,4.97751768611311e-16,2.5666098257394815e-16,2.851178476473081e-16
2477163177273324544,8.222556395078108,8.711522467754197,8.40269373307888,8.192046577679335,1.64868407103515e-14,2.4171912467904303e-14,2.5010507642499735e-14,1.9115311030076695e-14,2.8037365971046427e-16,4.2653115487198197e-16,2.356094572026465e-16,2.9802913631411683e-16,8.864218359420928,8.389414469955312,8.179208407555485,2.4424892234217263e-14,2.5294972524816314e-14,1.9685961752056206e-14,4.537245258936657e-16,2.3971936603491815e-16,3.116429573286532e-16
3058586781474760064,8.0081641013102,8.204841653721264,8.351894178698071,8.33992493950668,2.0086041676567618e-14,3.8546356926690036e-14,2.6208509835814506e-14,1.66813050441426e-14,7.513829786932865e-16,7.703760915733637e-16,3.5583295005538446e-16,3.23640866189313e-16,8.362966306517269,8.314423057034674,8.342809999015408,3.8755511880011736e-14,2.7103837020907553e-14,1.6932301788014662e-14,7.474399171770857e-16,3.555679003865464e-16,3.567559066086424e-16
2033994119367185920,8.341024635429712,8.937943555161684,8.694103374101307,8.274523377891555,1.4782576863265898e-14,1.9621968669408452e-14,1.9123115599543435e-14,1.771701891541681e-14,1.5554199863451204e-15,2.4141972441982848e-15,1.0742427207511644e-15,5.536200801408549e-16,9.095930102071119,8.683582901380461,8.294030406153148,1.9730948325027658e-14,1.9291537409134984e-14,1.7710378282240004e-14,2.7378443864601744e-15,1.2656442491056913e-15,6.324434545468215e-16
2074817787830234624,9.747536478807774,10.233137780812957,9.913868168711286,9.584329071647467,4.047113726122048e-15,5.952026932236871e-15,6.218028847032775e-15,5.3023497544060665e-15,4.967873713949096e-17,4.547045706380709e-17,2.1978711540291164e-17,2.7410593668907985e-17,10.374454163827547,9.914759612663879,9.597390854998253,6.0776870595048495e-15,6.207205946790668e-15,5.33192040949374e-15,4.5924537349559435e-17,2.313139156011201e-17,2.863022595957584e-17
