source_id,Jkc_mag_U,Jkc_mag_B,Jkc_mag_V,Jkc_mag_R,Jkc_mag_I,Jkc_flux_U,Jkc_flux_B,Jkc_flux_V,Jkc_flux_R,Jkc_flux_I,Jkc_flux_error_U,Jkc_flux_error_B,Jkc_flux_error_V,Jkc_flux_error_R,Jkc_flux_error_I,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
4160558188577118848,8.205583156221536,8.214859079198515,7.721984854678539,7.402527518513153,7.099637186532519,2.1464794625124313e-14,3.2910643061017305e-14,2.972528711430305e-14,2.392153216454813e-14,1.6869613220795252e-14,2.3457795601196564e-16,5.818426257760295e-17,2.1573815482827863e-17,1.9663643446705744e-17,1.0423737762506825e-17,8.213684661764264,8.22969221978487,7.734999410842999,7.420733836702421,7.109937284181253,2.3711888017655447e-14,3.309200734774615e-14,2.961830736134308e-14,2.404287869797808e-14,1.688671159961962e-14,2.505967249948519e-16,5.72372268700779e-17,2.1299283014273146e-17,2.0031030421515562e-17,1.0380306434903006e-17
2017928059787352320,8.061223976092116,8.526208084387246,8.363809781762114,8.142560574924659,7.876954812953635,2.451717401582269e-14,2.4705677401328598e-14,1.6458721149378553e-14,1.2099732526694846e-14,8.244761076501114e-15,2.7310105760422317e-16,7.695475287458306e-17,2.90830327381452e-17,2.1692804154073823e-17,7.879512066225867e-18,8.050432303752075,8.546049955423118,8.379996917232642,8.160210122700004,7.887001638384877,2.7559229949544694e-14,2.4727489027975696e-14,1.6351636838642096e-14,1.2167348598797697e-14,8.255043091783476e-15,3.0215355723190576e-16,7.603920751531048e-17,2.8642912527130247e-17,2.214829054359309e-17,7.88293267333716e-18
3012451990824399872,9.046544993473354,8.879493933180488,8.182920054832756,7.764704734750744,7.376863564229765,9.893318770466941e-15,1.7843597848262443e-14,1.9442494199845597e-14,1.7136341410358888e-14,1.3068163947526292e-14,6.310658199935426e-17,1.4287885477727513e-17,8.605692494299603e-18,7.591797672017108e-18,3.846961302233499e-18,9.09453731175697,8.890401711855066,8.19393146405999,7.784102908885149,7.387467881303717,1.0534770411615128e-14,1.8006915030286725e-14,1.9408296325633095e-14,1.7204372474132036e-14,1.3077744475418678e-14,6.363466932394036e-17,1.423720443969567e-17,8.47509204570854e-18,7.73331941553365e-18,3.841690731489885e-18
2192468383843943168,9.749343650362775,9.676929473557355,9.476005207078636,9.356107511625268,9.105321714674396,5.178721304318869e-15,8.560678960035227e-15,5.9090534334765244e-15,3.9569174985381674e-15,2.6596917987612246e-15,1.0850563761328241e-16,5.0391518495339727e-17,3.857465227344136e-17,3.8389094320990283e-17,5.965641455194304e-18,9.74281234619091,9.695464763411362,9.493432142802046,9.373588327533337,9.11522889589654,5.798491989421463e-15,8.578554103541548e-15,5.863907931459944e-15,3.979648078584489e-15,2.6633512223350913e-15,1.1554557198816605e-16,5.0418750804989103e-17,3.872304386323513e-17,3.922769513496221e-17,6.014542399019981e-18
349581548731407872,10.62065175362848,10.54750047409605,9.953948017414959,9.590506083488371,9.254045197878554,2.321129111685735e-15,3.839545428032901e-15,3.804878499092545e-15,3.1885818273939462e-15,2.3192198574614135e-15,1.7812133297292896e-17,2.9726037682418507e-18,2.79202989534015e-18,2.070613457988428e-18,8.708673818241783e-19,10.643101464460939,10.561399304611637,9.965893849429602,9.609131874745135,9.264525834114739,2.5304596363286395e-15,3.864028118883576e-15,3.794918559791497e-15,3.2035186014951063e-15,2.321184524092334e-15,1.7952244605941764e-17,3.041508147725118e-18,2.7317792184363495e-18,2.1144506563492937e-18,8.699480904707295e-19
3447142233536837376,10.265263710943707,10.14974994911709,9.487223314781652,9.076531271246402,8.725337340663728,3.2199899456487865e-15,5.538345186245322e-15,5.848313891491543e-15,5.119027840236388e-15,3.774201333453653e-15,3.3503679823330276e-16,6.2170464422357994e-18,4.746846213099505e-18,7.302456625089305e-18,2.6418794758332745e-18,10.298570264710413,10.160174641977232,9.498753230014504,9.095524251273044,8.73582632375322,3.475456796207041e-15,5.591523354798696e-15,5.8352397980287184e-15,5.141268668507944e-15,3.777369510173566e-15,3.1257645077233465e-16,6.4128019937200525e-18,4.709272734307557e-18,7.416377024454166e-18,2.6333436059317183e-18
385564819098095488,9.020947897889037,9.713178072362812,9.420022462996876,9.087109646715724,8.708322384153078,1.0129332816289994e-14,8.27958885084091e-15,6.221727913967487e-15,5.069395107011551e-15,3.8338140650351334e-15,6.389718922141524e-16,9.756978439279235e-17,1.5643620824063652e-17,1.7902418633810616e-17,1.702464221674683e-17,9.03114670647638,9.727131782263204,9.433517628266916,9.106324149376068,8.718739513465469,1.1168152033065248e-14,8.331962125149434e-15,6.196592666311163e-15,5.090381598189862e-15,3.837286224786565e-15,6.809470143850728e-16,9.839645951394448e-17,1.541755339738891e-17,1.8086968794214118e-17,1.7080022570450857e-17
2004626683499515520,11.170389805121651,10.434685353813872,9.114852021340269,8.415353678869856,7.792824105180117,1.3989560730761492e-15,4.259963308288594e-15,8.240986286791676e-15,9.411493106061136e-15,8.909028698604355e-15,4.2501156107680885e-17,5.952350601158044e-18,6.0018862708427565e-18,4.620231466117879e-18,2.6244200448336584e-18,11.718716389228977,10.444376280365216,9.11946654768391,8.438488374988989,7.803800648490867,9.39622579089575e-16,4.303774300176146e-15,8.275102481584561e-15,9.41639460870365e-15,8.912504058056176e-15,2.6533524302786412e-17,6.3153404113845306e-18,5.932755026485347e-18,4.713833413200675e-18,2.6157125442772187e-18
2006219738408337280,10.173557255901095,10.808352531140368,10.390601402254013,10.064127168769943,9.745882122845515,3.50378216495889e-15,3.019527488141301e-15,2.5449510830242603e-15,2.0613376350026992e-15,1.4743722590904232e-15,2.7819543000030815e-16,5.046184553734771e-18,2.7320342758612074e-18,5.269858785005375e-18,2.9107784468995635e-18,10.174989234085562,10.82936175330406,10.404717538113683,10.082528771456321,9.756097982336964,3.894433625446145e-15,3.0189456790370208e-15,2.533220446755776e-15,2.0714215562376543e-15,1.4759811363704087e-15,2.8337974145413864e-16,5.109143830065259e-18,2.7423613263849244e-18,5.343048005048828e-18,2.913643487370573e-18
321808297328983168,10.492875277426002,10.573216237016918,10.17949769944903,9.891308546006734,9.645205914267414,2.6110181396593177e-15,3.749673946241954e-15,3.09115598047528e-15,2.416999617046506e-15,1.6176241957547453e-15,2.5864519323814812e-17,4.3658935502673356e-18,2.818771085941271e-18,5.922904254368009e-18,3.669495599591576e-18,10.4959579264328,10.590375667614648,10.193861286125706,9.90895828687162,9.655241550938033,2.897722743218557e-15,3.762268036957923e-15,3.076206500452622e-15,2.430505931335285e-15,1.61965822060128e-15,2.667649963180164e-17,4.393364849895214e-18,2.833676069390087e-18,6.0004835657893826e-18,3.647378431968443e-18
