wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,epoch_prop_flag,wds_pm1,wds_pm2,wds_ra1,wds_dec1,wds_ra2,wds_dec2,gaia_designation1,gaia_source_id1,gaia_ra1,gaia_dec1,gaia_parallax1,gaia_pmra1,gaia_pmdec1,gaia_pm1,gaia_phot_g_mean_mag1,gaia_phot_bp_mean_mag1,gaia_phot_rp_mean_mag1,gaia_has_xp_continuous1,gaia_ruwe1,gaia_phot_variable_flag1,gaia_non_single_star1,gaia_flag1,gaia_designation2,gaia_source_id2,gaia_ra2,gaia_dec2,gaia_parallax2,gaia_pmra2,gaia_pmdec2,gaia_pm2,gaia_phot_g_mean_mag2,gaia_phot_bp_mean_mag2,gaia_phot_rp_mean_mag2,gaia_has_xp_continuous2,gaia_ruwe2,gaia_phot_variable_flag2,gaia_non_single_star2,gaia_flag2,xm_chk1,xm_chk2,gaia_sep,gaia_br_diff1,gaia_br_diff2,syn1,syn2,syn_dm
2689,22592+1144,STT 483,AB,2021.6936,y,0.4685,0.0115,33.78,0.26,1.6,0.15,,6,2,,,$,$,6.11,7.27,32.0,-41.0,32.0,-41.0,NO,.,52.009614495783374,52.009614495783374,344.79939525495706,11.728651111077292,344.79946915598737,11.728759279727594,Gaia DR3 2718603526867397504,2718603526867397504,344.79933162040606,11.728680759184028,10.514546784318302,26.163313613330683,-33.65503077135669,42.628395,5.945894,5.841334,5.4411945,False,9.104573,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,False,False,,0.40013949999999987,,,,
2690,22562+7250,STT 484AB,AB,2021.7975,y,0.3105,0.0004,100.73,0.08,0.1,0.0,:,1,1,Gaia DR3 2230118135880011520,,.,$,7.57,9.47,0.0,-9.0,0.0,-9.0,NO,.,9.0,9.0,344.05470833333334,72.83732111111172,344.0549955111261,72.83730505279026,Gaia DR3 2230118135880011520,2230118135880011520,344.0548256771339,72.83727844108644,,,,,7.906108,7.4473085,7.1471434,True,,VARIABLE,0,.,,,,,,,,,,,,,,,,$,True,False,,0.3001651000000001,,7.408320024649861,,
2691,23027+5514,STT 485AB,AB,2021.7355,y,18.6049,0.1454,48.61,0.33,6.0,1.1324,,3,3,Gaia DR3 2008712606139262592,Gaia DR3 2008712606139261440,.,.,6.51,10.15,17.0,4.0,-3.0,-2.0,,.,17.46424919657298,3.605551275463989,345.6829658422845,55.23637888881685,345.6896103272352,55.23976903464028,Gaia DR3 2008712606139262592,2008712606139262592,345.683042902661,55.2363964383605,4.900406206381168,17.999127784133737,3.1067631787975705,18.265284,6.512475,6.4416018,6.523519,True,1.6154481,VARIABLE,0,.,Gaia DR3 2008712606139261440,2.0087126061392614e+18,345.6897745849221,55.23986223490866,1.1615492688672877,-4.367853320249358,-1.7772992580975262,4.7156057,10.362315,10.493695,10.11571,True,1.172607,NOT_AVAILABLE,0.0,.,True,True,18.617045596454506,-0.08191720000000036,0.3779850000000007,6.527146163525202,10.405191131941478,3.878044968416276
2692,23027+5514,STT 485AC,AC,2021.7355,y,57.1246,0.5803,80.49,0.15,6.7,0.5715,,3,3,Gaia DR3 2008712606139262592,Gaia DR3 2008712915376915200,.,.,6.51,10.48,17.0,4.0,19.0,2.0,V,.,17.46424919657298,19.1049731745428,345.6829658422845,55.23637888881685,345.7104298965811,55.23898861800959,Gaia DR3 2008712606139262592,2008712606139262592,345.683042902661,55.2363964383605,4.900406206381168,17.999127784133737,3.1067631787975705,18.265284,6.512475,6.4416018,6.523519,True,1.6154481,VARIABLE,0,.,Gaia DR3 2008712915376915200,2.0087129153769152e+18,345.7100587926899,55.23906599264138,4.689153010756516,18.705743868598248,-1.751256078277866,18.787542,10.453048,10.72776,10.01445,True,1.1566885,NOT_AVAILABLE,0.0,.,True,True,56.28000896409372,-0.08191720000000036,0.7133099999999999,6.527146163525202,10.583863816413851,4.056717652888649
2694,23313+5225,STT 498AB,AB,2021.8957,y,17.2329,0.0185,243.45,0.06,4.2,0.0,*,1,1,Gaia DR3 1991693437445859840,Gaia DR3 1991693506165405696,.,.,7.62,10.85,101.0,-30.0,95.0,-37.0,N,.,105.3612832116238,101.95096860746348,352.8329025511486,52.41056110882894,352.82583925677835,52.40839014071981,Gaia DR3 1991693437445859840,1991693437445859840,352.83294036716995,52.41056369124621,11.665799016757235,102.27211606965852,-29.63464423784449,106.479095,7.4696283,7.689576,7.082603,True,0.923902,NOT_AVAILABLE,0,.,Gaia DR3 1991693506165405696,1.9916935061654057e+18,352.8258590460856,52.4084105880676,11.68272081275771,101.2577176835776,-30.70754544152849,105.81152,10.562258,10.95928,9.99248,True,0.88541615,NOT_AVAILABLE,0.0,.,True,True,17.375623865114598,0.606973,0.9667999999999992,7.580075711233128,10.754652467541469,3.1745767563083405
2698,23516+4205,STT 510AB,AB,2021.6936,y,0.6359,0.0003,119.64,0.03,0.4,0.0,,1,1,Gaia DR3 1921753983833748992,Gaia DR3 1921753983832433408,.,.,7.86,8.43,-1.0,-8.0,-1.0,-8.0,O,.,8.06225774829855,8.06225774829855,357.88761901162513,42.08265888888929,357.8878258695508,42.08257153215866,Gaia DR3 1921753983833748992,1921753983833748992,357.8876144548892,42.08267157746511,7.196015541470967,-3.713900083213175,-7.169870728612416,8.074657,8.0042305,7.3971124,7.1239243,True,15.606445,NOT_AVAILABLE,0,!,Gaia DR3 1921753983832433408,1.9217539838324334e+18,357.88781055632865,42.08258774367768,,,,,8.080498,7.3889656,7.12332,False,,NOT_AVAILABLE,0.0,.,True,True,0.6046573638105747,0.2731881000000005,0.26564560000000004,7.629894879277721,,
2699,23573+6102,STT 512AB,AB,2021.8849,y,2.4143,0.0095,311.23,0.23,4.9,0.0,*,1,1,Gaia DR3 2011881467370101376,Gaia DR3 2011881467372896640,.,.,6.85,9.72,-8.0,-5.0,-8.0,-5.0,N,!,9.433981132056603,9.433981132056603,359.3312182669613,61.026172222202646,359.3301770515526,61.02661422510773,Gaia DR3 2011881467370101376,2011881467370101376,359.3311763318232,61.0261868279287,3.432702444289561,-10.538850510549208,-3.3829610545505155,11.068504,5.7470355,6.903426,4.6605105,True,0.94637537,NOT_AVAILABLE,0,.,Gaia DR3 2011881467372896640,2.0118814673728968e+18,359.3300947105892,61.02663075065414,1.8022330529922936,4.641204198137937,-2.693311309909693,5.3660693,11.031361,,,False,1.6103325,NOT_AVAILABLE,0.0,.,True,True,2.4721936953985852,2.2429154999999996,,6.600038130928773,,
2700,23584+3501,STT 513,AB,2021.6856,y,3.2951,0.0027,18.01,0.05,3.4,0.0,*,1,1,Gaia DR3 2875499678622991744,Gaia DR3 2875499678622991488,.,.,6.82,9.34,22.0,-10.0,25.0,8.0,,.,24.166091947189145,26.248809496813376,359.58824438352946,35.0129555554978,359.5886061986835,35.013906012923904,Gaia DR3 2875499678622991744,2875499678622991744,359.5882385808949,35.01309530901633,8.244837501758589,15.15861768687645,7.429646611728394,16.881449,6.7550054,6.836639,6.531834,True,5.5916715,VARIABLE,0,!,Gaia DR3 2875499678622991488,2.8754996786229914e+18,359.58857038831565,35.01396133140123,7.349579192523683,21.55055701020284,9.064755354172512,23.379398,9.5413475,,,False,4.8536673,NOT_AVAILABLE,0.0,.,True,True,3.2675746140707846,0.304805,,6.768940183518332,,
2701,23584+3501,STT 513,AB,2021.8766,y,3.3036,0.0046,17.65,0.08,3.1,0.0,*,1,1,Gaia DR3 2875499678622991744,Gaia DR3 2875499678622991488,.,.,6.82,9.34,22.0,-10.0,25.0,8.0,,.,24.166091947189145,26.248809496813376,359.58824438352946,35.0129555554978,359.5886003881702,35.013910023833624,Gaia DR3 2875499678622991744,2875499678622991744,359.5882385808949,35.01309530901633,8.244837501758589,15.15861768687645,7.429646611728394,16.881449,6.7550054,6.836639,6.531834,True,5.5916715,VARIABLE,0,!,Gaia DR3 2875499678622991488,2.8754996786229914e+18,359.58857038831565,35.01396133140123,7.349579192523683,21.55055701020284,9.064755354172512,23.379398,9.5413475,,,False,4.8536673,NOT_AVAILABLE,0.0,.,True,True,3.2675746140707846,0.304805,,6.768940183518332,,
2702,01095+4715,STT 515AB,AB,2020.8829,y,0.523,0.0002,113.55,0.02,1.4,0.0,q,1,1,,,$,$,4.59,5.61,0.0,-11.0,0.0,-11.0,NO,.,11.0,11.0,17.375500000000002,47.24178444444521,17.37569616532593,47.24172639865751,Gaia DR3 401100815319187456,401100815319187456,17.37555894609017,47.24173163824362,,,,,4.477227,4.216377,4.2470374,True,,NOT_AVAILABLE,0,.,,,,,,,,,,,,,,,,$,False,False,,-0.030660400000000365,,4.289407816317095,,
