target_oid,wds_id,wds_comp,wsi_sep,target_ra,target_dec,target_mag,designation,source_id,ra,dec,parallax,pmra,pmdec,pm,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,has_xp_continuous,ruwe,phot_variable_flag,non_single_star,target_dm,target_sep
0,18124-0718,"A,BC",71.29090118408203,273.11258885870353,-7.281546650176064,11.029999732971191,Gaia DR3 4160559700381851520,4160559700381851520,273.1126266511471,-7.281848767464517,5.87419570507988,-9.536652759028833,-0.3084780284368014,9.54164,11.485186,11.538608,10.5198,false,1.3153316,NOT_AVAILABLE,0,3.7051854133605957,1.0959631052957206
0,18124-0718,"A,BC",71.29090118408203,273.11258885870353,-7.281546650176064,11.029999732971191,Gaia DR3 4160559700408176768,4160559700408176768,273.1124664150329,-7.282161600501683,5.829584026818476,-10.543807645624593,2.0186961233059275,10.735316,11.56115,11.502234,10.281871,false,1.3004533,NOT_AVAILABLE,0,3.781149387359619,2.2565869737366446
1,18124-0718,"A,BC",71.17040252685547,273.112554101858,-7.281561812631877,11.029999732971191,Gaia DR3 4160559700381851520,4160559700381851520,273.1126266511471,-7.281848767464517,5.87419570507988,-9.536652759028833,-0.3084780284368014,9.54164,11.485186,11.538608,10.5198,false,1.3153316,NOT_AVAILABLE,0,3.7051854133605957,1.0650277301372992
1,18124-0718,"A,BC",71.17040252685547,273.112554101858,-7.281561812631877,11.029999732971191,Gaia DR3 4160559700408176768,4160559700408176768,273.1124664150329,-7.282161600501683,5.829584026818476,-10.543807645624593,2.0186961233059275,10.735316,11.56115,11.502234,10.281871,false,1.3004533,NOT_AVAILABLE,0,3.781149387359619,2.1818225801109934
2,05192-0304,AB,1.6829999685287476,79.80522967346099,-3.073173242936454,11.399999618530273,Gaia DR3 3213958769587525888,3213958769587525888,79.80586741563162,-3.07320375008595,63.64345779109681,699.9096105469612,137.82430941282388,713.3505,7.4928217,8.024881,6.745429,true,0.9689201,NOT_AVAILABLE,0,0.47717809677124023,2.295199143123572
2,05192-0304,AB,1.6829999685287476,79.80522967346099,-3.073173242936454,11.399999618530273,Gaia DR3 3213958769589070848,3213958769589070848,79.80552237243057,-3.0729572118890207,,,,,10.098277,,,false,,NOT_AVAILABLE,0,2.12827730178833,1.30841988739532
3,06486-0405,AB,5.0777997970581055,102.14931533466314,-4.077419284783665,8.65999984741211,Gaia DR3 3102372804823185920,3102372804823185920,102.14876131893486,-4.076265003018306,20.65895455604872,-48.90273373912791,-81.07399858706232,94.680885,7.1928306,7.437049,6.7857065,false,0.9931755,NOT_AVAILABLE,0,0.1771693229675293,4.607083676835588
3,06486-0405,AB,5.0777997970581055,102.14931533466314,-4.077419284783665,8.65999984741211,Gaia DR3 3102372804823186176,3102372804823186176,102.14921542450105,-4.077592962969475,20.6725248686906,-54.60900930705114,-90.60734575802115,105.791466,8.301079,8.610408,7.812938,false,1.1306361,NOT_AVAILABLE,0,0.9310789108276367,0.7208606335187046
4,05424+1259,AB,1.6953999996185303,85.59347258761181,12.978086928404807,12.399999618530273,Gaia DR3 3340534342018616064,3340534342018616064,85.5935396639988,12.978089699550988,1.9717984466519112,-4.578268331751258,-7.247548297739595,8.572485,11.511905,,,false,1.7318923,NOT_AVAILABLE,0,2.581904411315918,0.2355181414502936
4,05424+1259,AB,1.6953999996185303,85.59347258761181,12.978086928404807,12.399999618530273,Gaia DR3 3340534342021498112,3340534342021498112,85.59396790014208,12.977929615445861,1.916879392699076,-4.122910994649931,-6.1402133790630735,7.3959866,8.867665,8.999536,8.580257,true,1.837038,NOT_AVAILABLE,0,0.06233501434326172,1.8275397812761633
5,14220+5107,AB,0.4848000109195709,215.50507927202094,51.1112622698828,8.960000038146973,Gaia DR3 1604722141111356288,1604722141111356288,215.5051453662549,51.11153035369859,,,,,8.392113,7.9219327,7.356852,true,,NOT_AVAILABLE,0,0.072113037109375,0.9765939854392719
