target_oid,wds_id,wds_comp,wsi_sep,target_ra,target_dec,target_mag,designation,source_id,ra,dec,parallax,pmra,pmdec,pm,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,has_xp_continuous,ruwe,phot_variable_flag,non_single_star,target_dm,target_sep
0,18124-0718,"A,BC",71.29090118408203,273.09998475715537,-7.2971944444303105,7.78000020980835,Gaia DR3 4160558188577118848,4160558188577118848,273.1000021445478,-7.297210008844486,12.612096795258209,-22.16814737921553,-51.42137843394456,55.996292,7.6010613,7.863144,7.1690984,true,0.973082,NOT_AVAILABLE,0,0.1789388656616211,0.08363281322038192
1,18124-0718,"A,BC",71.17040252685547,273.09998475715537,-7.2971944444303105,7.78000020980835,Gaia DR3 4160558188577118848,4160558188577118848,273.1000021445478,-7.297210008844486,12.612096795258209,-22.16814737921553,-51.42137843394456,55.996292,7.6010613,7.863144,7.1690984,true,0.973082,NOT_AVAILABLE,0,0.1789388656616211,0.08363281322038192
2,05192-0304,AB,1.6829999685287476,79.80586559170534,-3.073192217696913,7.96999979019165,Gaia DR3 3213958769587525888,3213958769587525888,79.80586741563162,-3.07320375008595,63.64345779109681,699.9096105469612,137.82430941282388,713.3505,7.4928217,8.024881,6.745429,true,0.9689201,NOT_AVAILABLE,0,0.47717809677124023,0.04203115897053609
2,05192-0304,AB,1.6829999685287476,79.80586559170534,-3.073192217696913,7.96999979019165,Gaia DR3 3213958769589070848,3213958769589070848,79.80552237243057,-3.0729572118890207,,,,,10.098277,,,false,,NOT_AVAILABLE,0,2.12827730178833,1.4960096448688416
3,06486-0405,AB,5.0777997970581055,102.14886500330233,-4.076082222187141,7.369999885559082,Gaia DR3 3102372804823185920,3102372804823185920,102.14876131893486,-4.076265003018306,20.65895455604872,-48.90273373912791,-81.07399858706232,94.680885,7.1928306,7.437049,6.7857065,false,0.9931755,NOT_AVAILABLE,0,0.1771693229675293,0.7560425220196798
4,05424+1259,AB,1.6953999996185303,85.59392184576572,12.977913333331276,8.930000305175781,Gaia DR3 3340534342018616064,3340534342018616064,85.5935396639988,12.978089699550988,1.9717984466519112,-4.578268331751258,-7.247548297739595,8.572485,11.511905,,,false,1.7318923,NOT_AVAILABLE,0,2.581904411315918,1.4834502895926147
4,05424+1259,AB,1.6953999996185303,85.59392184576572,12.977913333331276,8.930000305175781,Gaia DR3 3340534342021498112,3340534342021498112,85.59396790014208,12.977929615445861,1.916879392699076,-4.122910994649931,-6.1402133790630735,7.3959866,8.867665,8.999536,8.580257,true,1.837038,NOT_AVAILABLE,0,0.06233501434326172,0.1718652836167417
5,14220+5107,AB,0.4848000109195709,215.50512034813383,51.11139444437957,8.319999694824219,Gaia DR3 1604722141111356288,1604722141111356288,215.5051453662549,51.11153035369859,,,,,8.392113,7.9219327,7.356852,true,,NOT_AVAILABLE,0,0.072113037109375,0.492529984763319
6,19273+2040,AB,0.7889000177383423,291.83688450036874,20.66883111111175,8.5,Gaia DR3 2017928059758426240,2017928059758426240,291.8367903364563,20.669058530893725,2.5256443657569005,3.5871639708039695,-5.379154694609694,6.465528,10.730407,,,false,5.875136,NOT_AVAILABLE,0,2.2304067611694336,0.8780009071735152
6,19273+2040,AB,0.7889000177383423,291.83688450036874,20.66883111111175,8.5,Gaia DR3 2017928059787352320,2017928059787352320,291.8368985776909,20.66884553346917,2.092001815579174,2.076943372958452,-6.533890085065125,6.8560495,8.31818,8.372095,7.917895,true,3.2497795,NOT_AVAILABLE,0,0.18181991577148438,0.07031402323042815
6,19273+2040,AB,0.7889000177383423,291.83688450036874,20.66883111111175,8.5,Gaia DR3 2017928059787353344,2017928059787353344,291.8372564118484,20.669987291581077,2.0055495569794752,1.6078666209086494,-7.509858245406209,7.6800523,9.804147,10.131228,9.2513275,true,1.316048,NOT_AVAILABLE,0,1.3041467666625977,4.346674865605528
7,19273+2040,AB,0.7942000031471252,291.83688450036874,20.66883111111175,8.5,Gaia DR3 2017928059758426240,2017928059758426240,291.8367903364563,20.669058530893725,2.5256443657569005,3.5871639708039695,-5.379154694609694,6.465528,10.730407,,,false,5.875136,NOT_AVAILABLE,0,2.2304067611694336,0.8780009071735152
7,19273+2040,AB,0.7942000031471252,291.83688450036874,20.66883111111175,8.5,Gaia DR3 2017928059787352320,2017928059787352320,291.8368985776909,20.66884553346917,2.092001815579174,2.076943372958452,-6.533890085065125,6.8560495,8.31818,8.372095,7.917895,true,3.2497795,NOT_AVAILABLE,0,0.18181991577148438,0.07031402323042815
7,19273+2040,AB,0.7942000031471252,291.83688450036874,20.66883111111175,8.5,Gaia DR3 2017928059787353344,2017928059787353344,291.8372564118484,20.669987291581077,2.0055495569794752,1.6078666209086494,-7.509858245406209,7.6800523,9.804147,10.131228,9.2513275,true,1.316048,NOT_AVAILABLE,0,1.3041467666625977,4.346674865605528
8,02172+3729,AB,0.326200008392334,34.299712152778866,37.483277777709574,9.229999542236328,Gaia DR3 331280246407595264,331280246407595264,34.29973361963441,37.48327253286857,8.540002985111538,20.228166177480457,-21.05599176158039,29.198175,9.2483225,9.248994,8.566095,false,9.065259,NOT_AVAILABLE,0,0.01832294464111328,0.06416554217200245
9,02584-0135,AB,0.5131999850273132,44.59977057924534,-1.5808311111110742,9.260000228881836,Gaia DR3 5187688381757000064,5187688381757000064,44.59980828312963,-1.5808604978645522,,,,,8.951077,8.922543,8.265147,false,,NOT_AVAILABLE,0,0.30892276763916016,0.17205146309542005
