wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_coord1,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,wds_pm1,wds_pm2,wds_ra1_J2000,wds_dec1_J2000,wds_ra2_J2000,wds_dec2_J2000,wds_ra1_J2016,wds_dec1_J2016,wds_ra2_J2016,wds_dec2_J2016,epoch_prop_flag,gaia_id1,gaia_mag1,gaia_pm1,wds_gaia_dm1,wds_gaia_sep1,gaia_flag1,gaia_id2,gaia_mag2,gaia_pm2,wds_gaia_dm2,wds_gaia_sep2,gaia_flag2,xm_chk1,xm_chk2,jxm_id1,jxm_chk,sb_jxm_chk
1194,21301+1514,J   198,AB,2021.6853,C,3.997,0.0733,40.25,1.05,1.2,0.0,q,1,1,,,$,$,21 30 03.29 +15 15 18.3,11.5,11.8,8.0,-27.0,47.0,9.0,N,28.16025568065745,47.853944456021594,322.51370833333334,15.255083333333332,322.5144519141491,15.255930732158973,322.51374518746064,15.254963333332189,322.5146684331854,15.255970732054491,,Gaia DR3 1771527503972178304,11.636678,24.863234,0.1366777420043945,1.5604390459879918,.,Gaia DR3 1771527499677405184,12.388474,23.870306,0.5884742736816406,2.328136187784223,.,False,False,Gaia DR3 1771527503972178304,True,False
1195,21301+1514,J   198,AB,2021.6853,V,4.0566,0.0126,38.7,0.18,1.3,0.0,:,1,1,,,$,$,21 30 03.29 +15 15 18.3,11.5,11.8,8.0,-27.0,47.0,9.0,N,28.16025568065745,47.853944456021594,322.51370833333334,15.255083333333332,322.5144386126844,15.255962747149258,322.51374518746064,15.254963333332189,322.5146551317536,15.256002747044786,,Gaia DR3 1771527503972178304,11.636678,24.863234,0.1366777420043945,1.5604390459879918,.,Gaia DR3 1771527499677405184,12.388474,23.870306,0.5884742736816406,2.388294506500919,.,False,False,Gaia DR3 1771527503972178304,True,False
1196,21468+1030,J   201,AB,2021.6853,V,2.6981,0.0052,224.18,0.11,1.0,0.0,:,1,1,Gaia DR3 1765574026464193024,Gaia DR3 1765573987809787776,.,.,21 46 48.62 +10 28 24.5,9.3,9.3,108.0,-47.0,$,$,,117.78370006074697,$,326.7025833333333,10.473472222222222,326.702052166266,10.472934734839647,326.7030714656892,10.473263332964898,326.7025402977756,10.472725845582342,!,Gaia DR3 1765574026464193024,10.860514,110.84118,1.5605134963989258,1.1591145583201536,.,Gaia DR3 1765573987809787776,11.263637,111.766754,1.9636363983154297,1.1341031712741516,.,True,True,Gaia DR3 1765574026464193024,True,True
1197,21469+0722,J   202,AB,2021.8847,V,3.2377,0.0054,183.0,0.09,0.6,0.0,:,1,1,Gaia DR3 2700853182947074304,Gaia DR3 2700853182947073920,.,.,21 46 52.56 +07 22 02.2,11.02,11.5,-3.0,60.0,-9.0,-19.0,,60.07495318350236,21.02379604162864,326.719,7.367277777777777,326.71895253936304,7.366379649207311,326.7189865556699,7.3675444444401075,326.7189122064866,7.3662952047623715,,Gaia DR3 2700853182947074304,10.520636,12.002032,0.4993648529052734,1.1904814285880814,!,Gaia DR3 2700853182947073920,10.841466,10.966853,0.658534049987793,0.1311246333725561,.,True,True,Gaia DR3 2700853182947074304,True,True
1198,23525+2853,J   213,AB,2021.6855,V,5.3654,0.0062,167.16,0.07,0.8,0.0,:,1,1,,,$,$,23 52 26.02 +29 01 14.0,9.5,9.7,-3.0,-1.0,5.0,-18.0,,3.1622776601683795,18.681541692269406,358.10841666666664,29.02055555555556,358.1087954246641,29.01910243413446,358.10840141891345,29.02055111111032,358.10882083721003,29.019022434133312,,Gaia DR3 2866803400640972672,11.641659,18.812569,2.1416587829589844,0.3030785161639611,.,Gaia DR3 2866803396345954432,12.250617,18.559093,2.550617218017578,0.0349416101076991,.,False,False,Gaia DR3 2866803400640972672,True,False
1199,03455+0029,J   235,AB,2020.9432,V,2.4922,0.0037,261.52,0.08,0.5,0.0,:,1,1,,,$,$,03 45 29.74 +00 28 26.6,9.5,9.5,7.0,-50.0,$,$,,50.48762224545735,$,56.373916666666666,0.4740555555555555,56.37323193385918,0.4739534693534731,56.373947778841206,0.47383333333671,56.37326304603326,0.4737312471346277,!,Gaia DR3 3269642986221792128,11.097511,77.40625,1.5975112915039062,1.470240297827891,.,Gaia DR3 3269642951862053888,11.401107,75.878815,1.901106834411621,1.4718390947920652,.,False,False,Gaia DR3 3269642986221792128,True,False
1200,21344+1552,J   285,AB,2021.6853,C,2.451,0.0537,71.64,1.26,0.9,0.0,:,1,1,,,$,$,21 34 30.87 +15 52 02.0,9.6,9.8,-6.0,-24.0,$,$,,24.73863375370596,$,323.62862499999994,15.867222222222225,323.62929677295404,15.867436674508648,323.6285972770444,15.867115555555449,323.62926904996897,15.867330007841872,!,Gaia DR3 1771846839084869376,11.867427,27.096853,2.2674264907836914,0.932067973468376,.,Gaia DR3 1771846843379198080,12.443981,25.956333,2.6439809799194336,0.948087893089205,.,False,False,Gaia DR3 1771846839084869376,True,False
1201,21344+1552,J   285,AB,2021.6853,V,2.4183,0.0064,71.61,0.15,0.6,0.0,:,1,1,,,$,$,21 34 30.87 +15 52 02.0,9.6,9.8,-6.0,-24.0,$,$,,24.73863375370596,$,323.62862499999994,15.867222222222225,323.6292876952224,15.867434147203076,323.6285972770444,15.867115555555449,323.62925997223766,15.867327480536304,!,Gaia DR3 1771846839084869376,11.867427,27.096853,2.2674264907836914,0.932067973468376,.,Gaia DR3 1771846843379198080,12.443981,25.956333,2.6439809799194336,0.9164075008632384,.,False,False,Gaia DR3 1771846839084869376,True,False
1202,22345+1358,J   292,AB,2021.86,V,2.3666,0.0031,46.08,0.07,1.9,0.0,:,1,1,,,$,$,22 34 32.57 +13 59 49.3,10.26,13.1,40.0,2.0,40.0,2.0,N,40.049968789001575,40.049968789001575,338.6357083333333,13.997027777777776,338.63619634740195,13.997483777265996,338.6358915511688,13.997036666597774,338.636379565601,13.997492666085996,,Gaia DR3 2732658510989957504,10.120035,45.046288,0.1399650573730468,0.1308036770640729,.,Gaia DR3 2732658510991251072,11.563271,43.98722,1.5367298126220703,0.128916568412998,.,False,False,Gaia DR3 2732658510989957504,True,False
1203,22345+1358,J   292,AB,2021.86,y,2.3591,0.0034,46.24,0.08,1.5,0.0,*,1,1,,,$,$,22 34 32.57 +13 59 49.3,10.26,13.1,40.0,2.0,40.0,2.0,N,40.049968789001575,40.049968789001575,338.6357083333333,13.997027777777776,338.6361961071325,13.99748101224928,338.6358915511688,13.997036666597774,338.63637932532936,13.99748990106928,,Gaia DR3 2732658510989957504,10.120035,45.046288,0.1399650573730468,0.1308036770640729,.,Gaia DR3 2732658510991251072,11.563271,43.98722,1.5367298126220703,0.1367492734936348,.,False,False,Gaia DR3 2732658510989957504,True,False
